index,mese,giorno,ora,rain,temp,radiaz
408,1,17,24.00,0.0,-10.9,0
409,1,18,1.00,0.0,-11.9,0
410,1,18,2.00,0.0,-11.5,0
411,1,18,3.00,0.0,-13.2,0
412,1,18,4.00,0.0,-13.3,0
413,1,18,5.00,0.0,-11.6,0
414,1,18,6.00,0.0,-12.5,0
415,1,18,7.00,0.0,-11.5,6
416,1,18,8.00,0.0,-9.8,268
417,1,18,9.00,0.0,-8.8,410
418,1,18,10.00,0.0,-7.6,463
419,1,18,11.00,0.0,-4.0,1014
420,1,18,12.00,0.0,-0.8,1064
421,1,18,13.00,0.0,0.0,1126
422,1,18,14.00,0.0,-1.4,918
423,1,18,15.00,0.0,-3.6,194
424,1,18,16.00,0.0,-4.7,29
425,1,18,17.00,0.0,-7.1,0
426,1,18,18.00,0.0,-7.1,0
427,1,18,19.00,0.0,-8.7,0
428,1,18,20.00,0.0,-9.7,0
429,1,18,21.00,0.0,-9.4,0
430,1,18,22.00,0.0,-10.4,0
431,1,18,23.00,0.0,-11.8,0
432,1,18,24.00,0.0,-12.3,0
433,1,19,1.00,0.0,-12.2,0
434,1,19,2.00,0.0,-12.8,0
435,1,19,3.00,0.0,-12.1,0
436,1,19,4.00,0.0,-13.4,0
437,1,19,5.00,0.0,-12.8,0
438,1,19,6.00,0.0,-12.8,0
439,1,19,7.00,0.0,-12.4,12
440,1,19,8.00,0.0,-11.1,208
441,1,19,9.00,0.0,-8.0,764
442,1,19,10.00,0.0,-3.4,1118
443,1,19,11.00,0.0,-1.5,1452
444,1,19,12.00,0.0,0.1,1838
445,1,19,13.00,0.0,0.2,1704
446,1,19,14.00,0.0,0.0,964
447,1,19,15.00,0.0,-1.2,310
448,1,19,16.00,0.0,-1.9,66
449,1,19,17.00,0.0,-2.4,0
450,1,19,18.00,0.0,-2.7,0
451,1,19,19.00,0.0,-1.9,0
452,1,19,20.00,0.0,-2.0,0
453,1,19,21.00,0.0,-2.3,0
454,1,19,22.00,0.0,-3.4,0
455,1,19,23.00,0.0,-3.8,0
456,1,19,24.00,0.0,-3.1,0
457,1,20,1.00,0.0,-3.1,0
458,1,20,2.00,0.0,-3.7,0
459,1,20,3.00,0.0,-4.2,0
460,1,20,4.00,0.0,-4.2,0
461,1,20,5.00,0.0,-4.8,0
462,1,20,6.00,0.0,-5.1,0
463,1,20,7.00,0.0,-5.1,12
464,1,20,8.00,0.0,-4.2,238
465,1,20,9.00,0.0,-2.1,795
466,1,20,10.00,0.0,0.6,1230
467,1,20,11.00,0.0,1.9,1198
468,1,20,12.00,0.0,2.9,-
469,1,20,13.00,0.0,2.5,885
470,1,20,14.00,0.0,2.9,381
471,1,20,15.00,0.0,2.3,215
472,1,20,16.00,0.0,1.4,56
473,1,20,17.00,0.0,1.4,0
474,1,20,18.00,0.0,1.5,0
475,1,20,19.00,0.0,2.2,0
476,1,20,20.00,0.0,2.1,0
477,1,20,21.00,0.0,2.0,0
478,1,20,22.00,0.0,1.9,0
479,1,20,23.00,0.0,1.8,0
480,1,20,24.00,0.0,1.8,0
481,1,21,1.00,0.0,1.3,0
482,1,21,2.00,0.0,1.3,0
483,1,21,3.00,0.0,1.8,0
484,1,21,4.00,0.0,1.3,0
485,1,21,5.00,0.0,1.3,0
486,1,21,6.00,0.0,1.2,0
487,1,21,7.00,0.0,1.1,3
488,1,21,8.00,0.0,3.1,35
489,1,21,9.00,0.0,3.1,181
490,1,21,10.00,0.0,3.3,322
491,1,21,11.00,0.1,4.0,355
492,1,21,12.00,0.0,3.5,359
493,1,21,13.00,0.1,3.4,338
494,1,21,14.00,0.2,3.8,311
495,1,21,15.00,0.0,3.8,224
496,1,21,16.00,0.2,2.2,29
497,1,21,17.00,0.4,1.4,0
498,1,21,18.00,0.4,1.3,0
499,1,21,19.00,0.3,1.2,0
500,1,21,20.00,0.5,1.7,0
501,1,21,21.00,0.7,1.1,0
502,1,21,22.00,0.7,1.0,0
503,1,21,23.00,0.9,1.0,0
504,1,21,24.00,0.6,1.2,0
505,1,22,1.00,2.3,1.2,0
506,1,22,2.00,1.7,1.2,0
507,1,22,3.00,2.6,1.1,0
508,1,22,4.00,5.6,1.1,0
509,1,22,5.00,3.0,1.0,0
510,1,22,6.00,3.1,0.8,0
511,1,22,7.00,1.1,0.9,2
512,1,22,8.00,0.4,1.3,34
513,1,22,9.00,0.6,1.5,128
514,1,22,10.00,0.9,1.8,194
515,1,22,11.00,0.5,2.5,290
516,1,22,12.00,2.3,2.9,310
517,1,22,13.00,0.5,2.7,477
518,1,22,14.00,1.2,2.4,186
519,1,22,15.00,2.9,2.1,64
520,1,22,16.00,2.9,1.4,8
521,1,22,17.00,2.7,0.6,0
522,1,22,18.00,3.7,0.0,0
523,1,22,19.00,4.1,0.0,0
524,1,22,20.00,4.2,0.0,0
525,1,22,21.00,4.0,0.1,0
526,1,22,22.00,5.9,0.3,0
527,1,22,23.00,4.6,0.1,0
528,1,22,24.00,3.0,0.3,0
529,1,23,1.00,2.5,0.2,0
530,1,23,2.00,1.5,0.2,0
531,1,23,3.00,2.3,0.3,0
532,1,23,4.00,1.2,0.4,0
533,1,23,5.00,1.0,0.5,0
534,1,23,6.00,1.3,0.4,0
535,1,23,7.00,1.5,0.5,2
536,1,23,8.00,1.5,0.5,29
537,1,23,9.00,3.2,0.3,41
538,1,23,10.00,2.3,0.5,123
539,1,23,11.00,0.8,0.8,169
540,1,23,12.00,0.6,1.1,261
541,1,23,13.00,0.9,0.8,175
542,1,23,14.00,2.3,0.0,65
543,1,23,15.00,2.0,-0.1,27
544,1,23,16.00,2.1,-0.4,5
545,1,23,17.00,1.7,-0.4,0
546,1,23,18.00,1.5,-0.4,0
547,1,23,19.00,1.7,-0.5,0
548,1,23,20.00,1.3,-0.5,0
549,1,23,21.00,0.1,-0.9,0
550,1,23,22.00,0.0,-1.4,0
551,1,23,23.00,0.0,-1.1,0
552,1,23,24.00,0.0,-1.7,0
553,1,24,1.00,0.0,-2.5,0
554,1,24,2.00,0.0,-2.7,1
555,1,24,3.00,0.0,-2.8,0
556,1,24,4.00,0.0,-2.7,0
557,1,24,5.00,0.0,-3.3,0
558,1,24,6.00,0.0,-4.1,0
559,1,24,7.00,0.0,-4.4,3
560,1,24,8.00,0.0,-2.9,28
561,1,24,9.00,0.0,-1.9,95
562,1,24,10.00,0.0,-1.0,162
563,1,24,11.00,0.0,-0.8,141
564,1,24,12.00,0.0,-0.3,121
565,1,24,13.00,0.0,-0.4,133
566,1,24,14.00,0.0,-0.4,123
567,1,24,15.00,0.0,-1.0,84
568,1,24,16.00,0.0,-1.2,10
569,1,24,17.00,0.0,-1.7,1
570,1,24,18.00,0.0,-3.1,0
571,1,24,19.00,0.0,-2.4,0
572,1,24,20.00,0.0,-3.2,0
573,1,24,21.00,0.0,-3.6,0
574,1,24,22.00,0.0,-4.2,0
575,1,24,23.00,0.0,-5.6,0
576,1,24,24.00,0.0,-6.7,0
577,1,25,1.00,0.0,-7.3,0
578,1,25,2.00,0.0,-7.4,0
579,1,25,3.00,0.0,-8.0,0
580,1,25,4.00,0.0,-9.3,0
581,1,25,5.00,0.0,-8.0,0
582,1,25,6.00,0.0,-8.7,0
583,1,25,7.00,0.0,-8.4,1
584,1,25,8.00,0.0,-7.0,29
585,1,25,9.00,0.0,-5.3,136
586,1,25,10.00,0.0,-4.1,156
587,1,25,11.00,0.0,-3.4,275
588,1,25,12.00,0.0,-2.8,348
589,1,25,13.00,0.0,-2.8,395
590,1,25,14.00,0.0,-3.5,195
591,1,25,15.00,0.0,-3.7,88
592,1,25,16.00,0.0,-4.4,19
593,1,25,17.00,0.0,-5.0,0
594,1,25,18.00,0.0,-5.1,0
595,1,25,19.00,0.0,-5.9,0
596,1,25,20.00,0.0,-6.4,0
597,1,25,21.00,0.0,-6.7,0
598,1,25,22.00,0.0,-7.0,0
599,1,25,23.00,0.0,-7.6,0
600,1,25,24.00,0.0,-6.9,0
601,1,26,1.00,0.0,-9.0,0
602,1,26,2.00,0.0,-8.3,0
603,1,26,3.00,0.0,-9.6,0
604,1,26,4.00,0.0,-10.4,0
605,1,26,5.00,0.0,-8.6,0
606,1,26,6.00,0.0,-10.5,0
607,1,26,7.00,0.0,-11.1,3
608,1,26,8.00,0.0,-8.8,73
609,1,26,9.00,0.0,-5.5,213
610,1,26,10.00,0.0,-2.7,417
611,1,26,11.00,0.0,-0.3,1069
612,1,26,12.00,0.0,0.5,2166
613,1,26,13.00,0.0,-0.1,1892
614,1,26,14.00,0.0,-0.4,1412
615,1,26,15.00,0.0,-3.3,514
616,1,26,16.00,0.0,-4.3,51
617,1,26,17.00,0.0,-6.2,1
618,1,26,18.00,0.0,-6.4,0
619,1,26,19.00,0.0,-7.9,0
620,1,26,20.00,0.0,-8.1,0
621,1,26,21.00,0.0,-9.5,0
622,1,26,22.00,0.0,-10.5,0
623,1,26,23.00,0.0,-10.9,0
624,1,26,24.00,0.0,-10.1,0
625,1,27,1.00,0.0,-10.6,0
626,1,27,2.00,0.0,-11.5,0
627,1,27,3.00,0.0,-12.1,0
628,1,27,4.00,0.0,-12.9,0
629,1,27,5.00,0.0,-12.6,0
630,1,27,6.00,0.0,-12.2,0
631,1,27,7.00,0.0,-13.1,12
632,1,27,8.00,0.0,-9.8,-
633,1,27,9.00,0.0,-6.8,1148
634,1,27,10.00,0.0,-4.9,1296
635,1,27,11.00,0.0,-3.0,1200
636,1,27,12.00,0.0,-0.6,1041
637,1,27,13.00,0.0,-0.7,865
638,1,27,14.00,0.0,-0.8,571
639,1,27,15.00,0.0,-2.2,269
640,1,27,16.00,0.0,-2.7,72
641,1,27,17.00,0.0,-3.0,0
642,1,27,18.00,0.0,-3.5,0
643,1,27,19.00,0.0,-3.7,0
644,1,27,20.00,0.0,-4.6,0
645,1,27,21.00,0.0,-5.8,0
646,1,27,22.00,0.0,-6.7,0
647,1,27,23.00,0.0,-8.1,0
648,1,27,24.00,0.0,-8.1,0
649,1,28,1.00,0.0,-8.9,0
650,1,28,2.00,0.0,-8.2,0
651,1,28,3.00,0.0,-10.6,0
652,1,28,4.00,0.0,-10.6,0
653,1,28,5.00,0.0,-10.1,0
654,1,28,6.00,0.0,-9.8,0
655,1,28,7.00,0.0,-8.5,14
656,1,28,8.00,0.0,-5.8,546
657,1,28,9.00,0.0,-3.1,1016
658,1,28,10.00,0.0,-1.9,1054
659,1,28,11.00,0.0,-1.0,1104
660,1,28,12.00,0.0,-0.2,738
661,1,28,13.00,0.0,1.0,690
662,1,28,14.00,0.0,0.2,397
663,1,28,15.00,0.0,-0.8,237
664,1,28,16.00,0.0,-2.4,85
665,1,28,17.00,0.0,-2.0,0
